"ScriptName","FullPath","SizeKB","LastWriteTime"
"AIOS_Inventory_Only_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Inventory_Only_v1.ps1","3.69","5/4/2026 4:20:46 PM"
"AIOS_Stage10_Duplicate_Review_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage10_Duplicate_Review_v1.ps1","3.42","5/4/2026 4:58:01 PM"
"AIOS_Stage11_Canonical_Archive_Review_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage11_Canonical_Archive_Review_v1.ps1","4.5","5/4/2026 4:58:53 PM"
"AIOS_Stage12_Folder_Authority_Map_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage12_Folder_Authority_Map_v1.ps1","5.2","5/4/2026 5:00:00 PM"
"AIOS_Stage13_Execution_Readiness_Report_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage13_Execution_Readiness_Report_v1.ps1","6.12","5/4/2026 5:01:05 PM"
"AIOS_Stage14_Rebuild_Full_Folder_Authority_Map_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage14_Rebuild_Full_Folder_Authority_Map_v1.ps1","5.9","5/4/2026 5:01:50 PM"
"AIOS_Stage15_Master_Checkpoint_Index_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage15_Master_Checkpoint_Index_v1.ps1","4.34","5/4/2026 5:03:59 PM"
"AIOS_Stage3_Create_Safe_Zones_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage3_Create_Safe_Zones_v1.ps1","2.22","5/4/2026 4:33:10 PM"
"AIOS_Stage4_Register_Current_State_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage4_Register_Current_State_v1.ps1","4.99","5/4/2026 4:35:15 PM"
"AIOS_Stage5_Create_Rules_ContextPack_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage5_Create_Rules_ContextPack_v1.ps1","5.63","5/4/2026 4:36:58 PM"
"AIOS_Stage6_Generate_MoveMerge_ReviewPlan_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage6_Generate_MoveMerge_ReviewPlan_v1.ps1","4.57","5/4/2026 4:47:30 PM"
"AIOS_Stage7_Create_Approval_Worksheet_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage7_Create_Approval_Worksheet_v1.ps1","2.79","5/4/2026 4:53:31 PM"
"AIOS_Stage8_Split_Approval_Worksheet_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage8_Split_Approval_Worksheet_v1.ps1","3.65","5/4/2026 4:54:34 PM"
"AIOS_Stage9_Create_NoTouch_Locklist_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Stage9_Create_NoTouch_Locklist_v1.ps1","3.15","5/4/2026 4:56:04 PM"
