"Role","Required","Path","Exists"
"ACTIVE_PROJECT_ROOT","YES","C:\Users\mylab\OneDrive\AI-OS-Project","True"
"ACTIVE_AI_OS_DOC_ROOT","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS","True"
"PHASE1_CHECKPOINT","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\00_START_HERE\AIOS_PHASE1_MASTER_CHECKPOINT_2026-05-04_17-04-01.md","True"
"PHASE2_CHECKPOINT","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\00_START_HERE\AIOS_PHASE2_REVIEW_ONLY_CHECKPOINT_2026-05-04_17-13-23.md","True"
"PHASE3_CHECKPOINT","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\00_START_HERE\AIOS_PHASE3_REVIEW_CHECKPOINT_2026-05-04_17-19-20.md","True"
"NO_TOUCH_LOCKLIST_MD","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\_DO_NOT_TOUCH\AIOS_STAGE9_NO_TOUCH_LOCKLIST_2026-05-04_16-56-06.md","True"
"NO_TOUCH_LOCKLIST_CSV","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\_DO_NOT_TOUCH\AIOS_STAGE9_NO_TOUCH_LOCKLIST_2026-05-04_16-56-06.csv","True"
"FOLDER_AUTHORITY_MAP","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE14_FULL_FOLDER_AUTHORITY_REBUILD_2026-05-04_17-01-52\01_FULL_FOLDER_AUTHORITY_MAP.csv","True"
"GITHUB_CODEX_REPO_REVIEW","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE17_GITHUB_CODEX_REPO_REVIEW_2026-05-04_17-07-40\01_GITHUB_CODEX_REPO_CANDIDATE_REVIEW.csv","True"
"DUPLICATE_VS_REPO_COMPARISON","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE18_DUPLICATE_VS_GITHUB_REPO_COMPARISON_2026-05-04_17-09-31\01_DUPLICATE_VS_GITHUB_REPO_COMPARISON.csv","True"
"FINAL_HUMAN_APPROVAL_WORKSHEET","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS\STAGE21_FINAL_HUMAN_APPROVAL_PACKET_2026-05-04_17-13-23\01_FINAL_HUMAN_APPROVAL_WORKSHEET.csv","True"
"HUMAN_DECISION_GUIDE","YES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE25_HUMAN_DECISION_GUIDE_2026-05-04_17-19-20\01_HUMAN_DECISION_GUIDE.csv","True"
"ROOT_AGENTS_MD","NO","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md","True"
"ROOT_CODEX_TASK","NO","C:\Users\mylab\OneDrive\AI-OS-Project\CODEX_TASK.txt","True"
